time (ms),grandi (cai),time (ms),grandi (cass),time (ms),grandi (cad)
-2.8,8.81E-05,-2.8,0.00011147,-2.8,0.000189268
-2.7,8.81E-05,-2.7,0.00011147,-2.7,0.000189268
-2.6,8.81E-05,-2.6,0.00011147,-2.6,0.000189268
-2.5,8.81E-05,-2.5,0.00011147,-2.5,0.000189268
-2.4,8.81E-05,-2.4,0.00011147,-2.4,0.000189268
-2.3,8.81E-05,-2.3,0.00011147,-2.3,0.000189268
-2.2,8.81E-05,-2.2,0.00011147,-2.2,0.000189268
-2.1,8.81E-05,-2.1,0.00011147,-2.1,0.000189268
-2,8.81E-05,-2,0.00011147,-2,0.000189268
-1.9,8.81E-05,-1.9,0.00011147,-1.9,0.000189268
-1.8,8.81E-05,-1.8,0.00011147,-1.8,0.000189268
-1.7,8.81E-05,-1.7,0.00011147,-1.7,0.000189268
-1.6,8.81E-05,-1.6,0.00011147,-1.6,0.000189268
-1.5,8.81E-05,-1.5,0.00011147,-1.5,0.000189268
-1.4,8.81E-05,-1.4,0.00011147,-1.4,0.000189268
-1.3,8.81E-05,-1.3,0.00011147,-1.3,0.000189268
-1.2,8.81E-05,-1.2,0.00011147,-1.2,0.000189268
-1.1,8.81E-05,-1.1,0.00011147,-1.1,0.000189268
-1,8.81E-05,-1,0.00011147,-1,0.000189268
-0.9,8.81E-05,-0.9,0.00011147,-0.9,0.000189268
-0.8,8.81E-05,-0.8,0.00011147,-0.8,0.000189268
-0.7,8.81E-05,-0.7,0.00011147,-0.7,0.000189268
-0.6,8.81E-05,-0.6,0.00011147,-0.6,0.000189268
-0.5,8.81E-05,-0.5,0.00011147,-0.5,0.000189268
-0.4,8.81E-05,-0.4,0.00011147,-0.4,0.000189268
-0.3,8.81E-05,-0.3,0.00011147,-0.3,0.000189268
-0.2,8.81E-05,-0.2,0.00011147,-0.2,0.000189268
-0.1,8.81E-05,-0.1,0.00011147,-0.1,0.000189268
0,8.81E-05,0,0.00011147,0,0.000189268
0.1,8.81E-05,0.1,0.000111477,0.1,0.000189367
0.2,8.81E-05,0.2,0.000111485,0.2,0.000189484
0.3,8.81E-05,0.3,0.000111495,0.3,0.00018961
0.4,8.81E-05,0.4,0.000111505,0.4,0.000189745
0.5,8.81E-05,0.5,0.000111516,0.5,0.000189889
0.6,8.81E-05,0.6,0.000111529,0.6,0.000190042
0.7,8.81E-05,0.7,0.000111542,0.7,0.000190203
0.8,8.81E-05,0.8,0.000111556,0.8,0.000190373
0.9,8.81E-05,0.9,0.000111572,0.9,0.000190552
1,8.81E-05,1,0.000111588,1,0.00019074
1.1,8.81E-05,1.1,0.000111605,1.1,0.000190929
1.2,8.81E-05,1.2,0.000111622,1.2,0.00019112
1.3,8.81E-05,1.3,0.00011164,1.3,0.000191323
1.4,8.81E-05,1.4,0.00011166,1.4,0.000191539
1.5,8.81E-05,1.5,0.00011168,1.5,0.000191755
1.6,8.81E-05,1.6,0.000111701,1.6,0.000191977
1.7,8.81E-05,1.7,0.000111724,1.7,0.000192219
1.8,8.81E-05,1.8,0.000111747,1.8,0.000192472
1.9,8.81E-05,1.9,0.000111771,1.9,0.00019272
2,8.81E-05,2,0.000111796,2,0.00019298
2.1,8.81E-05,2.1,0.000111823,2.1,0.00019328
2.2,8.81E-05,2.2,0.000111852,2.2,0.000193588
2.3,8.81E-05,2.3,0.00011188,2.3,0.000193892
2.4,8.81E-05,2.4,0.000111912,2.4,0.000194236
2.5,8.81E-05,2.5,0.000111944,2.5,0.000194596
2.6,8.81E-05,2.6,0.000111977,2.6,0.000194964
2.7,8.81E-05,2.7,0.000112012,2.7,0.000195356
2.8,8.81E-05,2.8,0.000112048,2.8,0.00019577
2.9,8.81E-05,2.9,0.000112086,2.9,0.000196205
3,8.81E-05,3,0.000112124,3,0.000196666
3.1,8.81E-05,3.1,0.000112335,3.1,0.000199518
3.2,8.81E-05,3.2,0.000112631,3.2,0.000204847
3.3,8.81E-05,3.3,0.000113044,3.3,0.000216438
3.4,8.81E-05,3.4,0.00011368,3.4,0.0002442
3.5,8.82E-05,3.5,0.00011471,3.5,0.000303126
3.6,8.82E-05,3.6,0.000116202,3.6,0.000395562
3.7,8.82E-05,3.7,0.000117884,3.7,0.000491092
3.8,8.83E-05,3.8,0.000119319,3.8,0.000548368
3.9,8.83E-05,3.9,0.000120312,3.9,0.000553821
4,8.83E-05,4,0.000120976,4,0.000523392
4.1,8.84E-05,4.1,0.000122113,4.1,0.00058063
4.2,8.84E-05,4.2,0.000123343,4.2,0.000640474
4.3,8.84E-05,4.3,0.000124547,4.3,0.000694198
4.4,8.85E-05,4.4,0.000125726,4.4,0.000742622
4.5,8.85E-05,4.5,0.000126883,4.5,0.000786422
4.6,8.85E-05,4.6,0.000128018,4.6,0.000826167
4.7,8.86E-05,4.7,0.000129133,4.7,0.000862338
4.8,8.86E-05,4.8,0.000130228,4.8,0.000895342
4.9,8.86E-05,4.9,0.000131305,4.9,0.000925536
5,8.87E-05,5,0.000132363,5,0.000953222
5.1,8.87E-05,5.1,0.000133632,5.1,0.00100629
5.2,8.88E-05,5.2,0.000134985,5.2,0.0010643
5.3,8.88E-05,5.3,0.000136394,5.3,0.00112502
5.4,8.88E-05,5.4,0.000137861,5.4,0.00118869
5.5,8.89E-05,5.5,0.00013939,5.5,0.00125554
5.6,8.89E-05,5.6,0.000140987,5.6,0.00132583
5.7,8.90E-05,5.7,0.000142655,5.7,0.00139979
5.8,8.90E-05,5.8,0.0001444,5.8,0.0014777
5.9,8.91E-05,5.9,0.000146225,5.9,0.0015598
6,8.91E-05,6,0.000148137,6,0.00164638
6.1,8.92E-05,6.1,0.000150003,6.1,0.00172228
6.2,8.93E-05,6.2,0.000151905,6.2,0.00179908
6.3,8.93E-05,6.3,0.000153865,6.3,0.00187832
6.4,8.94E-05,6.4,0.000155886,6.4,0.00196019
6.5,8.94E-05,6.5,0.000157972,6.5,0.00204483
6.6,8.95E-05,6.6,0.000160125,6.6,0.00213241
6.7,8.96E-05,6.7,0.000162347,6.7,0.00222312
6.8,8.97E-05,6.8,0.000164642,6.8,0.00231711
6.9,8.97E-05,6.9,0.000167014,6.9,0.00241458
7,8.98E-05,7,0.000169466,7,0.0025157
7.1,8.99E-05,7.1,0.00017182,7.1,0.00260059
7.2,9.00E-05,7.2,0.000174187,7.2,0.00268468
7.3,9.00E-05,7.3,0.000176597,7.3,0.00277004
7.4,9.01E-05,7.4,0.00017905,7.4,0.0028568
7.5,9.02E-05,7.5,0.000181549,7.5,0.00294507
7.6,9.03E-05,7.6,0.000184095,7.6,0.00303497
7.7,9.04E-05,7.7,0.000186689,7.7,0.00312661
7.8,9.05E-05,7.8,0.000189333,7.8,0.00322012
7.9,9.05E-05,7.9,0.00019203,7.9,0.00331561
8,9.06E-05,8,0.00019478,8,0.00341319
8.1,9.07E-05,8.1,0.000197436,8.1,0.00349631
8.2,9.08E-05,8.2,0.000200092,8.2,0.003578
8.3,9.09E-05,8.3,0.000202772,8.3,0.00366011
8.4,9.10E-05,8.4,0.000205479,8.4,0.00374275
8.5,9.11E-05,8.5,0.000208211,8.5,0.00382601
8.6,9.12E-05,8.6,0.000210971,8.6,0.00391
8.7,9.13E-05,8.7,0.00021376,8.7,0.00399482
8.8,9.14E-05,8.8,0.000216579,8.8,0.00408055
8.9,9.15E-05,8.9,0.000219429,8.9,0.0041673
9,9.16E-05,9,0.000222311,9,0.00425515
9.1,9.17E-05,9.1,0.000225128,9.1,0.00433304
9.2,9.18E-05,9.2,0.000227942,9.2,0.00440977
9.3,9.19E-05,9.3,0.000230771,9.3,0.00448668
9.4,9.20E-05,9.4,0.000233616,9.4,0.00456385
9.5,9.21E-05,9.5,0.000236477,9.5,0.00464141
9.6,9.22E-05,9.6,0.000239357,9.6,0.00471943
9.7,9.23E-05,9.7,0.000242255,9.7,0.00479799
9.8,9.24E-05,9.8,0.000245174,9.8,0.00487719
9.9,9.25E-05,9.9,0.000248113,9.9,0.00495711
10,9.26E-05,10,0.000251076,10,0.00503782
10.1,9.27E-05,10.1,0.000254005,10.1,0.00511287
10.2,9.28E-05,10.2,0.000256937,10.2,0.00518746
10.3,9.29E-05,10.3,0.000259883,10.3,0.00526242
10.4,9.30E-05,10.4,0.000262845,10.4,0.00533785
10.5,9.31E-05,10.5,0.000265823,10.5,0.00541383
10.6,9.32E-05,10.6,0.00026882,10.6,0.00549046
10.7,9.33E-05,10.7,0.000271836,10.7,0.00556782
10.8,9.34E-05,10.8,0.000274873,10.8,0.00564597
10.9,9.36E-05,10.9,0.000277932,10.9,0.00572501
11,9.37E-05,11,0.000281015,11,0.005805
11.1,9.38E-05,11.1,0.000284092,11.1,0.00588254
11.2,9.39E-05,11.2,0.000287184,11.2,0.00596041
11.3,9.40E-05,11.3,0.000290299,11.3,0.00603912
11.4,9.41E-05,11.4,0.000293436,11.4,0.00611876
11.5,9.42E-05,11.5,0.000296598,11.5,0.0061994
11.6,9.44E-05,11.6,0.000299787,11.6,0.00628111
11.7,9.45E-05,11.7,0.000303003,11.7,0.00636398
11.8,9.46E-05,11.8,0.000306249,11.8,0.00644808
11.9,9.47E-05,11.9,0.000309526,11.9,0.0065335
12,9.48E-05,12,0.000312837,12,0.00662031
12.1,9.50E-05,12.1,0.000316168,12.1,0.00670693
12.2,9.51E-05,12.2,0.00031953,12.2,0.00679476
12.3,9.52E-05,12.3,0.000322928,12.3,0.00688404
12.4,9.53E-05,12.4,0.000326363,12.4,0.00697484
12.5,9.55E-05,12.5,0.000329839,12.5,0.00706731
12.6,9.56E-05,12.6,0.000333355,12.6,0.00716149
12.7,9.57E-05,12.7,0.000336916,12.7,0.00725749
12.8,9.59E-05,12.8,0.000340522,12.8,0.00735539
12.9,9.60E-05,12.9,0.000344176,12.9,0.00745527
13,9.61E-05,13,0.000347881,13,0.00755723
13.1,9.63E-05,13.1,0.000351633,13.1,0.00766074
13.2,9.64E-05,13.2,0.000355438,13.2,0.00776639
13.3,9.65E-05,13.3,0.0003593,13.3,0.00787435
13.4,9.67E-05,13.4,0.000363221,13.4,0.00798473
13.5,9.68E-05,13.5,0.000367203,13.5,0.00809762
13.6,9.70E-05,13.6,0.000371251,13.6,0.00821315
13.7,9.71E-05,13.7,0.000375365,13.7,0.00833142
13.8,9.73E-05,13.8,0.00037955,13.8,0.00845256
13.9,9.74E-05,13.9,0.000383809,13.9,0.00857669
14,9.76E-05,14,0.000388145,14,0.00870395
14.1,9.77E-05,14.1,0.000392561,14.1,0.00883439
14.2,9.79E-05,14.2,0.00039706,14.2,0.00896821
14.3,9.81E-05,14.3,0.000401646,14.3,0.00910556
14.4,9.82E-05,14.4,0.000406324,14.4,0.0092466
14.5,9.84E-05,14.5,0.000411096,14.5,0.00939147
14.6,9.86E-05,14.6,0.000415968,14.6,0.00954036
14.7,9.88E-05,14.7,0.000420943,14.7,0.00969343
14.8,9.89E-05,14.8,0.000426027,14.8,0.00985086
14.9,9.91E-05,14.9,0.000431223,14.9,0.0100128
15,9.93E-05,15,0.000436536,15,0.0101796
15.1,9.95E-05,15.1,0.000441975,15.1,0.0103515
15.2,9.97E-05,15.2,0.000447543,15.2,0.0105287
15.3,9.99E-05,15.3,0.000453245,15.3,0.0107114
15.4,0.000100113,15.4,0.000459088,15.4,0.0108997
15.5,0.000100323,15.5,0.000465078,15.5,0.011094
15.6,0.000100537,15.6,0.000471221,15.6,0.0112945
15.7,0.000100756,15.7,0.000477524,15.7,0.0115015
15.8,0.00010098,15.8,0.000483995,15.8,0.0117154
15.9,0.000101209,15.9,0.000490642,15.9,0.0119364
16,0.000101445,16,0.000497472,16,0.0121649
16.1,0.000101686,16.1,0.000504497,16.1,0.0124016
16.2,0.000101933,16.2,0.000511726,16.2,0.0126467
16.3,0.000102187,16.3,0.000519165,16.3,0.0129004
16.4,0.000102447,16.4,0.000526826,16.4,0.0131631
16.5,0.000102715,16.5,0.00053472,16.5,0.0134356
16.6,0.000102989,16.6,0.000542859,16.6,0.0137181
16.7,0.000103272,16.7,0.000551251,16.7,0.014011
16.8,0.000103563,16.8,0.000559913,16.8,0.0143151
16.9,0.000103862,16.9,0.000568858,16.9,0.0146309
17,0.00010417,17,0.000578099,17,0.0149589
17.1,0.000104487,17.1,0.000587654,17.1,0.0153002
17.2,0.000104814,17.2,0.000597542,17.2,0.0156557
17.3,0.000105152,17.3,0.000607775,17.3,0.0160254
17.4,0.0001055,17.4,0.000618371,17.4,0.0164102
17.5,0.00010586,17.5,0.000629353,17.5,0.0168111
17.6,0.000106232,17.6,0.000640739,17.6,0.017229
17.7,0.000106616,17.7,0.000652552,17.7,0.0176648
17.8,0.000107013,17.8,0.000664816,17.8,0.0181194
17.9,0.000107425,17.9,0.000677556,17.9,0.018594
18,0.000107851,18,0.000690797,18,0.0190896
18.1,0.000108292,18.1,0.000704576,18.1,0.0196082
18.2,0.00010875,18.2,0.000718918,18.2,0.0201505
18.3,0.000109226,18.3,0.000733857,18.3,0.0207179
18.4,0.00010972,18.4,0.000749427,18.4,0.0213118
18.5,0.000110233,18.5,0.000765664,18.5,0.0219337
18.6,0.000110766,18.6,0.000782609,18.6,0.0225853
18.7,0.000111321,18.7,0.000800305,18.7,0.0232682
18.8,0.000111899,18.8,0.000818796,18.8,0.0239843
18.9,0.000112502,18.9,0.00083813,18.9,0.0247356
19,0.00011313,19,0.000858359,19,0.0255239
19.1,0.000113785,19.1,0.000879543,19.1,0.0263522
19.2,0.000114469,19.2,0.000901741,19.2,0.0272224
19.3,0.000115184,19.3,0.000925009,19.3,0.0281361
19.4,0.000115932,19.4,0.000949411,19.4,0.029096
19.5,0.000116713,19.5,0.000975024,19.5,0.0301049
19.6,0.000117532,19.6,0.00100192,19.6,0.0311649
19.7,0.000118389,19.7,0.00103017,19.7,0.0322782
19.8,0.000119288,19.8,0.00105986,19.8,0.0334477
19.9,0.00012023,19.9,0.00109107,19.9,0.0346763
20,0.000121218,20,0.0011239,20,0.0359656
20.1,0.000122255,20.1,0.00115844,20.1,0.037319
20.2,0.000123344,20.2,0.00119479,20.2,0.0387383
20.3,0.000124487,20.3,0.00123303,20.3,0.0402248
20.4,0.000125689,20.4,0.00127327,20.4,0.0417802
20.5,0.000126951,20.5,0.0013156,20.5,0.0434052
20.6,0.000128277,20.6,0.00136013,20.6,0.0451002
20.7,0.00012967,20.7,0.00140695,20.7,0.046865
20.8,0.000131134,20.8,0.00145614,20.8,0.0486984
20.9,0.000132671,20.9,0.0015078,20.9,0.0505983
21,0.000134284,21,0.001562,21,0.0525613
21.1,0.000135976,21.1,0.00161881,21.1,0.054584
21.2,0.000137751,21.2,0.00167829,21.2,0.0566599
21.3,0.000139609,21.3,0.00174046,21.3,0.0587814
21.4,0.000141554,21.4,0.00180535,21.4,0.0609394
21.5,0.000143586,21.5,0.00187295,21.5,0.0631235
21.6,0.000145706,21.6,0.00194323,21.6,0.0653215
21.7,0.000147916,21.7,0.00201615,21.7,0.0675198
21.8,0.000150214,21.8,0.00209163,21.8,0.0697036
21.9,0.0001526,21.9,0.00216957,21.9,0.0718568
22,0.000155071,22,0.00224983,22,0.0739628
22.1,0.000157627,22.1,0.00233227,22.1,0.0760053
22.2,0.000160264,22.2,0.00241672,22.2,0.0779666
22.3,0.000162978,22.3,0.00250297,22.3,0.0798297
22.4,0.000165765,22.4,0.00259081,22.4,0.0815786
22.5,0.00016862,22.5,0.00268003,22.5,0.0831988
22.6,0.000171537,22.6,0.00277037,22.6,0.0846774
22.7,0.000174512,22.7,0.00286162,22.7,0.0860035
22.8,0.000177537,22.8,0.00295353,22.8,0.0871684
22.9,0.000180608,22.9,0.00304587,22.9,0.0881659
23,0.000183717,23,0.00313842,23,0.088992
23.1,0.000186859,23.1,0.00323097,23.1,0.0896458
23.2,0.000190028,23.2,0.00332331,23.2,0.0901281
23.3,0.000193218,23.3,0.00341526,23.3,0.0904417
23.4,0.000196424,23.4,0.00350666,23.4,0.0905916
23.5,0.000199641,23.5,0.00359733,23.5,0.0905845
23.6,0.000202864,23.6,0.00368716,23.6,0.0904284
23.7,0.000206088,23.7,0.00377601,23.7,0.0901325
23.8,0.00020931,23.8,0.00386378,23.8,0.0897067
23.9,0.000212526,23.9,0.00395038,23.9,0.0891615
24,0.000215732,24,0.00403573,24,0.0885076
24.1,0.000218927,24.1,0.00411977,24.1,0.087756
24.2,0.000222107,24.2,0.00420243,24.2,0.0869172
24.3,0.000225271,24.3,0.00428367,24.3,0.0860018
24.4,0.000228415,24.4,0.00436346,24.4,0.0850198
24.5,0.000231539,24.5,0.00444176,24.5,0.0839809
24.6,0.000234641,24.6,0.00451856,24.6,0.082894
24.7,0.00023772,24.7,0.00459383,24.7,0.0817677
24.8,0.000240775,24.8,0.00466755,24.8,0.0806098
24.9,0.000243803,24.9,0.00473973,24.9,0.0794274
25,0.000246806,25,0.00481037,25,0.0782271
25.1,0.000249782,25.1,0.00487943,25.1,0.0770146
25.2,0.00025273,25.2,0.00494694,25.2,0.0757955
25.3,0.00025565,25.3,0.00501292,25.3,0.0745744
25.4,0.000258541,25.4,0.00507734,25.4,0.0733557
25.5,0.000261403,25.5,0.00514014,25.5,0.072143
25.6,0.000264235,25.6,0.00520148,25.6,0.0709395
25.7,0.000267038,25.7,0.00526132,25.7,0.0697482
25.8,0.00026981,25.8,0.00531951,25.8,0.0685712
25.9,0.000272551,25.9,0.0053762,25.9,0.0674107
26,0.000275262,26,0.00543167,26,0.0662685
26.1,0.000277943,26.1,0.00548541,26.1,0.0651458
26.2,0.000280591,26.2,0.00553757,26.2,0.0640435
26.3,0.000283207,26.3,0.00558833,26.3,0.062963
26.4,0.000285792,26.4,0.00563761,26.4,0.0619049
26.5,0.000288345,26.5,0.00568556,26.5,0.0608697
26.6,0.000290866,26.6,0.00573194,26.6,0.0598577
26.7,0.000293354,26.7,0.00577688,26.7,0.0588692
26.8,0.00029581,26.8,0.00582043,26.8,0.0579042
26.9,0.000298234,26.9,0.00586258,26.9,0.0569627
27,0.000300624,27,0.00590332,27,0.0560446
27.1,0.000302982,27.1,0.00594268,27.1,0.0551496
27.2,0.000305307,27.2,0.00598067,27.2,0.0542775
27.3,0.000307598,27.3,0.0060173,27.3,0.053428
27.4,0.000309857,27.4,0.00605259,27.4,0.0526009
27.5,0.000312082,27.5,0.00608655,27.5,0.0517956
27.6,0.000314274,27.6,0.00611921,27.6,0.0510117
27.7,0.000316433,27.7,0.00615056,27.7,0.0502488
27.8,0.000318559,27.8,0.00618064,27.8,0.0495065
27.9,0.000320652,27.9,0.00620945,27.9,0.0487841
28,0.000322712,28,0.00623701,28,0.0480813
28.1,0.000324738,28.1,0.00626335,28.1,0.0473974
28.2,0.000326732,28.2,0.00628847,28.2,0.0467319
28.3,0.000328693,28.3,0.0063124,28.3,0.0460845
28.4,0.000330621,28.4,0.00633516,28.4,0.0454545
28.5,0.000332517,28.5,0.00635676,28.5,0.0448415
28.6,0.00033438,28.6,0.00637722,28.6,0.044245
28.7,0.000336211,28.7,0.00639657,28.7,0.0436645
28.8,0.00033801,28.8,0.00641482,28.8,0.0430995
28.9,0.000339777,28.9,0.00643199,28.9,0.0425495
29,0.000341513,29,0.00644811,29,0.0420141
29.1,0.000343218,29.1,0.00646319,29.1,0.0414927
29.2,0.000344892,29.2,0.00647725,29.2,0.040985
29.3,0.000346534,29.3,0.00649032,29.3,0.0404905
29.4,0.000348147,29.4,0.00650241,29.4,0.0400088
29.5,0.000349729,29.5,0.00651355,29.5,0.0395395
29.6,0.000351282,29.6,0.00652375,29.6,0.0390823
29.7,0.000352805,29.7,0.00653304,29.7,0.0386367
29.8,0.000354299,29.8,0.00654145,29.8,0.0382023
29.9,0.000355764,29.9,0.00654898,29.9,0.0377789
30,0.000357201,30,0.00655566,30,0.037366
30.1,0.00035861,30.1,0.00656152,30.1,0.0369632
30.2,0.000359992,30.2,0.00656656,30.2,0.0365703
30.3,0.000361346,30.3,0.00657082,30.3,0.036187
30.4,0.000362673,30.4,0.00657431,30.4,0.0358129
30.5,0.000363974,30.5,0.00657706,30.5,0.0354478
30.6,0.000365248,30.6,0.00657908,30.6,0.0350914
30.7,0.000366497,30.7,0.00658039,30.7,0.0347433
30.8,0.000367721,30.8,0.00658101,30.8,0.0344034
30.9,0.00036892,30.9,0.00658097,30.9,0.0340714
31,0.000370094,31,0.00658027,31,0.0337471
31.1,0.000371245,31.1,0.00657895,31.1,0.03343
31.2,0.000372372,31.2,0.00657702,31.2,0.0331201
31.3,0.000373475,31.3,0.00657449,31.3,0.0328172
31.4,0.000374556,31.4,0.00657139,31.4,0.032521
31.5,0.000375614,31.5,0.00656773,31.5,0.0322313
31.6,0.000376651,31.6,0.00656354,31.6,0.0319479
31.7,0.000377666,31.7,0.00655882,31.7,0.0316706
31.8,0.000378659,31.8,0.00655359,31.8,0.0313992
31.9,0.000379632,31.9,0.00654787,31.9,0.0311336
32,0.000380585,32,0.00654169,32,0.0308736
32.1,0.000381517,32.1,0.00653504,32.1,0.030619
32.2,0.00038243,32.2,0.00652795,32.2,0.0303696
32.3,0.000383324,32.3,0.00652044,32.3,0.0301253
32.4,0.000384199,32.4,0.00651251,32.4,0.0298859
32.5,0.000385055,32.5,0.00650419,32.5,0.0296514
32.6,0.000385894,32.6,0.00649549,32.6,0.0294215
32.7,0.000386714,32.7,0.00648641,32.7,0.0291961
32.8,0.000387517,32.8,0.00647698,32.8,0.0289751
32.9,0.000388304,32.9,0.00646721,32.9,0.0287584
33,0.000389073,33,0.00645711,33,0.0285458
33.1,0.000389826,33.1,0.00644669,33.1,0.0283372
33.2,0.000390564,33.2,0.00643596,33.2,0.0281325
33.3,0.000391285,33.3,0.00642495,33.3,0.0279317
33.4,0.000391992,33.4,0.00641365,33.4,0.0277345
33.5,0.000392683,33.5,0.00640208,33.5,0.0275409
33.6,0.00039336,33.6,0.00639025,33.6,0.0273507
33.7,0.000394022,33.7,0.00637817,33.7,0.027164
33.8,0.00039467,33.8,0.00636586,33.8,0.0269806
33.9,0.000395305,33.9,0.00635332,33.9,0.0268004
34,0.000395926,34,0.00634056,34,0.0266233
34.1,0.000396533,34.1,0.00632759,34.1,0.0264493
34.2,0.000397128,34.2,0.00631442,34.2,0.0262782
34.3,0.000397711,34.3,0.00630106,34.3,0.0261099
34.4,0.000398281,34.4,0.00628752,34.4,0.0259445
34.5,0.000398838,34.5,0.0062738,34.5,0.0257818
34.6,0.000399384,34.6,0.00625993,34.6,0.0256218
34.7,0.000399919,34.7,0.00624589,34.7,0.0254643
34.8,0.000400442,34.8,0.0062317,34.8,0.0253094
34.9,0.000400954,34.9,0.00621738,34.9,0.0251569
35,0.000401455,35,0.00620292,35,0.0250068
35.1,0.000401946,35.1,0.00618833,35.1,0.024859
35.2,0.000402426,35.2,0.00617362,35.2,0.0247135
35.3,0.000402896,35.3,0.00615879,35.3,0.0245703
35.4,0.000403356,35.4,0.00614386,35.4,0.0244291
